"INDICATOR","HFAMDB_87"

"HFAMDB_87","Alcohol abuse (including alcoholic psychosis), number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ESP","","TOTAL","FEMALE","1996","28"
"ESP","","TOTAL","FEMALE","1997","28"
"ESP","","TOTAL","FEMALE","1998","30"
"ESP","","TOTAL","FEMALE","1999","31"
"ESP","","TOTAL","FEMALE","2000","34"
"ESP","","TOTAL","FEMALE","2001","50"
"ESP","","TOTAL","FEMALE","2002","27"
"ESP","","TOTAL","FEMALE","2003","36"
"ESP","","TOTAL","FEMALE","2004","43"
"ESP","","TOTAL","FEMALE","2005","33"
"ESP","","TOTAL","FEMALE","2006","29"
"ESP","","TOTAL","FEMALE","2007","25"
"ESP","","TOTAL","FEMALE","2008","29"
"ESP","","TOTAL","FEMALE","2009","40"
"ESP","","TOTAL","FEMALE","2010","27"
"ESP","","TOTAL","FEMALE","2011","46"
"ESP","","TOTAL","FEMALE","2012","53"
"ESP","","TOTAL","FEMALE","2013","31"
"ESP","","TOTAL","FEMALE","2014","34"
"ESP","","TOTAL","FEMALE","2015","32"
"ESP","","TOTAL","FEMALE","2017","34"
"ESP","","TOTAL","FEMALE","2018","29"
"ESP","","TOTAL","FEMALE","2019","18"
"ESP","","TOTAL","FEMALE","2020","29"
"EST","","TOTAL","FEMALE","1990","0"
"EST","","TOTAL","FEMALE","1991","1"
"EST","","TOTAL","FEMALE","1992","0"
"EST","","TOTAL","FEMALE","1993","3"
"EST","","TOTAL","FEMALE","1994","6"
"EST","","TOTAL","FEMALE","1995","8"
"EST","","TOTAL","FEMALE","1996","5"
"EST","","TOTAL","FEMALE","1997","2"
"EST","","TOTAL","FEMALE","1998","3"
"EST","","TOTAL","FEMALE","1999","4"
"EST","","TOTAL","FEMALE","2000","3"
"EST","","TOTAL","FEMALE","2001","20"
"EST","","TOTAL","FEMALE","2002","12"
"EST","","TOTAL","FEMALE","2003","43"
"EST","","TOTAL","FEMALE","2004","28"
"EST","","TOTAL","FEMALE","2005","55"
"EST","","TOTAL","FEMALE","2006","37"
"EST","","TOTAL","FEMALE","2007","43"
"EST","","TOTAL","FEMALE","2008","35"
"EST","","TOTAL","FEMALE","2009","30"
"EST","","TOTAL","FEMALE","2010","16"
"EST","","TOTAL","FEMALE","2011","23"
"EST","","TOTAL","FEMALE","2012","22"
"EST","","TOTAL","FEMALE","2013","10"
"EST","","TOTAL","FEMALE","2014","8"
"EST","","TOTAL","FEMALE","2015","7"
"EST","","TOTAL","FEMALE","2016","9"
"FIN","","TOTAL","FEMALE","1987","12"
"FIN","","TOTAL","FEMALE","1988","10"
"FIN","","TOTAL","FEMALE","1989","7"
"FIN","","TOTAL","FEMALE","1990","10"
"FIN","","TOTAL","FEMALE","1991","9"
"FIN","","TOTAL","FEMALE","1992","7"
"FIN","","TOTAL","FEMALE","1993","4"
"FIN","","TOTAL","FEMALE","1994","10"
"FIN","","TOTAL","FEMALE","1995","16"
"FIN","","TOTAL","FEMALE","1996","32"
"FIN","","TOTAL","FEMALE","1997","30"
"FIN","","TOTAL","FEMALE","1998","62"
"FIN","","TOTAL","FEMALE","1999","56"
"FIN","","TOTAL","FEMALE","2000","44"
"FIN","","TOTAL","FEMALE","2001","44"
"FIN","","TOTAL","FEMALE","2002","33"
"FIN","","TOTAL","FEMALE","2003","45"
"FIN","","TOTAL","FEMALE","2004","44"
"FIN","","TOTAL","FEMALE","2005","33"
"FIN","","TOTAL","FEMALE","2006","33"
"FIN","","TOTAL","FEMALE","2007","19"
"FIN","","TOTAL","FEMALE","2008","29"
"FIN","","TOTAL","FEMALE","2009","35"
"FIN","","TOTAL","FEMALE","2010","31"
"FIN","","TOTAL","FEMALE","2011","38"
"FIN","","TOTAL","FEMALE","2012","39"
"FIN","","TOTAL","FEMALE","2013","44"
"FIN","","TOTAL","FEMALE","2014","45"
"FIN","","TOTAL","FEMALE","2016","42"
"FIN","","TOTAL","FEMALE","2017","46"
"FIN","","TOTAL","FEMALE","2018","50"
"FRA","","TOTAL","FEMALE","1979","635"
"FRA","","TOTAL","FEMALE","1980","632"
"FRA","","TOTAL","FEMALE","1981","643"
"FRA","","TOTAL","FEMALE","1982","607"
"FRA","","TOTAL","FEMALE","1983","620"
"FRA","","TOTAL","FEMALE","1984","605"
"FRA","","TOTAL","FEMALE","1985","603"
"FRA","","TOTAL","FEMALE","1986","586"
"FRA","","TOTAL","FEMALE","1987","528"
"FRA","","TOTAL","FEMALE","1988","559"
"FRA","","TOTAL","FEMALE","1989","535"
"FRA","","TOTAL","FEMALE","1990","520"
"FRA","","TOTAL","FEMALE","1991","471"
"FRA","","TOTAL","FEMALE","1992","452"
"FRA","","TOTAL","FEMALE","1993","506"
"FRA","","TOTAL","FEMALE","1994","524"
"FRA","","TOTAL","FEMALE","1995","462"
"FRA","","TOTAL","FEMALE","1996","436"
"FRA","","TOTAL","FEMALE","1997","452"
"FRA","","TOTAL","FEMALE","1998","520"
"FRA","","TOTAL","FEMALE","1999","538"
"FRA","","TOTAL","FEMALE","2000","612"
"FRA","","TOTAL","FEMALE","2001","572"
"FRA","","TOTAL","FEMALE","2002","606"
"FRA","","TOTAL","FEMALE","2003","636"
"FRA","","TOTAL","FEMALE","2004","564"
"FRA","","TOTAL","FEMALE","2005","622"
"FRA","","TOTAL","FEMALE","2006","563"
"FRA","","TOTAL","FEMALE","2007","584"
"FRA","","TOTAL","FEMALE","2008","617"
"FRA","","TOTAL","FEMALE","2009","608"
"FRA","","TOTAL","FEMALE","2010","574"
"FRA","","TOTAL","FEMALE","2011","595"
"FRA","","TOTAL","FEMALE","2012","578"
"FRA","","TOTAL","FEMALE","2013","500"
